Symbol,Year,Month,Day,dayOfWeek,closeDay0,highDay0,openDay0,lowDay0,volumeDay0,closeDay260,highDay260,openDay260,lowDay260,volumeDay260,Sector,Industry,exactDateFounded,IPODATE,markReturn6mo,markReturn3mo
CAC,1997,10,7,1,9.8333,9.9167,9.3333,9.8333,24300.0,11.3887,11.4447,11.3887,11.4333,1350.0,Finance,Major Banks,1984,1997-10-07,0.2762783202466489,0.06631220064119699
CADE,2017,4,13,3,21.55,22.24,21.5,22.05,5392979.0,28.05,28.23,27.64,27.64,507003.0,Finance,Major Banks,2009,2017-04-13,0.09958963585835025,0.030901611851549732
CAE,1996,1,10,2,1.96,1.96,1.96,1.96,4000.0,1.969,1.969,1.969,1.969,0.0,Miscellaneous,Industrial Machinery/Components,"March,17,1947",1996-01-10,0.09379208086405073,0.05528811399767155
CAFD,2015,6,19,4,20.49,21.15,20.21,20.75,14165758.0,14.26,14.29,14.03,14.2,195875.0,Public Utilities,Electric Utilities: Central,"March,3,2015",2015-06-19,0.02443198525900614,0.015301981268222
CAI,2007,5,16,2,15.0,15.32,14.5,15.02,3780400.0,17.01,18.29,16.8,17.4,45399.0,Technology,Diversified Commercial Services,"August,3,1989",2007-05-16,0.07246237278746688,0.031362862661718796
CALA,2014,10,2,3,9.41,11.24,9.26,10.26,4633059.0,5.55,5.64,5.16,5.41,125096.0,Health Care,Major Pharmaceuticals,"March,9,2010",2014-10-02,0.029224183749613386,-0.014412879950509662
CALI,2008,10,22,2,4.62,4.62,4.62,4.62,416.0,32.0994,32.9658,31.8,31.8,5537.0,Consumer Services,Motor Vehicles,1995,2008-10-22,-0.305892678123087,-0.2521143400211678
CALL,1996,2,7,2,560.625,674.375,560.625,560.625,97738.0,219.375,227.5,215.3125,215.4104,1144.0,Public Utilities,Telecommunications Equipment,1989,1996-02-07,0.15409885770111204,0.10235026779913571
CALM,1996,12,12,3,1.703,1.8125,1.6875,1.703,1984400.0,1.469,1.5,1.469,1.5,64800.0,Consumer Non-Durables,Farming/Seeds/Milling,1957,1996-12-12,0.10715354058928339,0.10367273116831552
CALX,2010,3,24,2,15.1,18.0,15.03,17.0,5533491.0,19.15,19.24,18.4,18.49,244529.0,Consumer Services,Telecommunications Equipment,"August,1999",2010-03-24,0.11742706485486158,0.04233547360221861
CAMT,2000,7,28,4,6.0,7.0,4.5,6.5,4251900.0,4.7,5.0,4.7,5.0,12200.0,Capital Goods,Electronic Components,1987,2000-07-28,0.06577164354888085,-0.0019347290332986029
CAPL,2012,10,25,3,20.23,21.65,20.11,21.41,2734346.0,28.85,28.85,28.39,28.85,24172.0,Energy,Oil Refining/Marketing,"December,2,2011",2012-10-25,0.012986401969290058,0.05296398401641607
CARA,2014,1,31,4,12.91,14.15,11.26,11.62,2016169.0,10.79,11.05,10.69,10.69,203625.0,Health Care,Major Pharmaceuticals,"July,2,2004",2014-01-31,0.06434005575871682,0.0214341270375166
CARB,2011,8,11,3,12.35,13.4,10.8,10.8,1201116.0,7.78,7.85,7.65,7.68,54720.0,Technology,EDP Services,"February,10,2005",2011-08-11,-0.15678441923085648,-0.1649081675727255
CARO,2013,10,22,1,7.2646,7.2917,7.0833,7.2917,17760.0,10.71,11.25,10.71,10.7542,6504.0,Finance,Major Banks,"February,1997",2013-10-22,0.116582421875,0.028976192714903662
CART,2004,12,21,1,9.2412,10.1427,9.0383,9.9549,70134.0,13.6364,13.6364,13.6364,13.6364,467.0,Finance,Major Banks,"February,29,2016",2004-12-21,0.05693176396183864,0.057867681537560535
CASI,1996,6,12,2,173.25,178.75,171.875,173.25,167400.0,144.375,144.375,138.875,144.375,3254.0,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),1991,1996-06-12,0.08434328668550256,0.05317920924752179
CASS,1996,6,28,4,4.731,4.731,4.731,4.731,0.0,7.1621,7.1621,6.8661,6.8676,10273.0,Miscellaneous,Business Services,1982,1996-06-28,0.08863087525003126,0.030218487499286368
CATB,2015,6,25,3,13.0,13.49,12.25,12.74,1687799.0,4.0,4.1699,3.67,3.87,28592.0,Health Care,Major Pharmaceuticals,"June,26,2008",2015-06-25,0.009484078385132922,0.023061074777829725
CATM,2007,12,11,1,9.5,9.75,8.33,9.65,9547704.0,1.46,1.78,1.46,1.63,549283.0,Miscellaneous,Business Services,1993,2007-12-11,0.004532420114002503,0.030221048731729355
CAVM,2007,5,2,2,16.45,17.83,16.44,16.5,5396947.0,20.55,21.02,20.2,20.62,433867.0,Technology,Semiconductors,"November,2000",2007-05-02,0.08700110139503194,0.026173912962862606
CBAN,1996,10,30,2,7.2,7.2,7.2,7.2,0.0,5.92,5.92,5.92,5.92,0.0,Finance,Major Banks,"November,8,1982",1996-10-30,0.07235125170263897,0.10427224949798715
CBAY,2014,1,27,0,9.0,9.0,9.0,9.0,100.0,9.85,10.41,9.2,9.5,393124.0,Health Care,Major Pharmaceuticals,"October,5,1988",2014-01-27,0.06227865506735622,0.015992221793871303
CBD,1996,3,8,4,6.719,6.719,6.495,6.719,54000.0,11.125,11.125,10.625,11.125,2800.0,Consumer Services,Food Chains,1948,1996-03-08,0.14138791781420215,0.058576869031210684
CBIO,2006,4,12,2,909.3,945.0,866.25,945.0,23207.0,939.75,939.75,918.75,918.75,324.0,Health Care,Major Pharmaceuticals,"August,5,2002",2006-04-12,0.09246135419803256,0.0003964726934059672
CBLI,2006,7,21,4,108.0,120.0,100.2,119.8,13587.0,200.0,201.6,194.2,201.4,4079.0,Health Care,Biotechnology: Commercial Physical & Biological Resarch,"June,5,2003",2006-07-21,-0.011623444818531213,-0.047396454628679224
CBMG,2007,6,4,0,25.0,125.0,10.0,125.0,325.0,5.8,5.8,5.0,5.8,1170.0,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),2009,2007-06-04,0.09028327689903011,0.11805371530838585
CBOE,2010,6,15,1,32.49,33.75,32.3,32.8,17033964.0,24.2,24.61,24.15,24.53,601371.0,Finance,Investment Bankers/Brokers/Service,1973,2010-06-15,-0.016517332269153827,-0.0529156672832552
CBPX,2014,2,5,2,15.19,16.0,14.0,14.66,7478549.0,17.47,17.59,16.8,16.8,74794.0,Capital Goods,Building Materials,"July,26,2013",2014-02-05,0.02815231094757907,-0.004407346500718379
CBSHP,2014,6,16,0,24.96,25.0,24.78,24.9,1206399.0,25.4,25.6,25.37,25.4,2558.0,Finance,Major Banks,"August,4,1966",2014-06-16,0.083748470141034,0.041601480475993
CC,2015,6,19,4,20.8505,22.25,20.5,21.0,2636060.0,8.92,9.4,8.82,8.97,3086081.0,Basic Industries,Major Chemicals,"February,18,2014",2015-06-19,0.02443198525900614,0.015301981268222
CCBG,1997,2,3,0,11.733,11.947,11.52,11.733,85776.0,19.2,19.2,19.2,19.2,0.0,Finance,Major Banks,"December,13,1982",1997-02-03,0.19073655605032278,0.11239086337203076
CCCL,2007,12,17,0,72.0,72.0,72.0,72.0,9425.0,70.0,70.4,69.6,70.0,23362.0,Capital Goods,Building Materials,"September,30,1993",2007-12-17,-0.04121360872856325,-0.0058917638562595125
CCCR,2013,8,13,1,6.39,7.3999,5.99,6.0,326409.0,3.2,3.29,2.9264,3.18,48610.0,Finance,Major Banks,"December,19,2011",2013-08-13,0.1112521752102827,0.034092895882528215
CCI,1998,8,18,1,12.9999,13.1887,12.875,13.0,5783087.0,17.8756,18.0634,17.0006,17.25,548289.0,Consumer Services,Real Estate Investment Trusts,1994,1998-08-18,0.049986522447192414,-0.02003029735363445
CCIH,2010,10,1,4,27.15,30.698,26.31,27.0,7039211.0,4.54,4.62,4.39,4.62,57597.0,Technology,EDP Services,"June,1998",2010-10-01,-0.03132164092925133,0.11079743091163902
CCJ,1996,3,14,3,9.021,9.188,9.021,9.021,229200.0,6.834,6.834,6.771,6.771,14400.0,Basic Industries,Precious Metals,1988,1996-03-14,0.09413821528141056,0.03506128101213174
CCLP,2011,6,15,2,19.0,20.16,19.0,20.0,1215352.0,12.74,13.04,12.4,12.51,16535.0,Energy,Oilfield Services/Equipment,"October,31,2008",2011-06-15,0.04261555781576922,0.004680661863414226
CCM,2009,12,11,4,9.5,10.48,9.36,10.0,9122689.0,7.46,7.5,7.46,7.48,31150.0,Health Care,Medical/Nursing Services,"November,27,2007",2009-12-11,0.16664369238369575,0.0571768302762196
CCMP,2000,4,4,1,22.0,22.1875,22.0,22.1875,3000.0,41.75,42.063,39.375,40.47,818500.0,Technology,Semiconductors,"October,1999",2000-04-04,0.15435382407296597,0.07613863129859268
CCO,2005,11,11,4,18.55,19.05,17.75,17.75,9885200.0,25.01,25.14,24.67,25.14,200300.0,Consumer Services,Advertising,"August,1995",2005-11-11,0.05110534137233129,-0.005534045881023339
CCOI,2002,2,6,2,63.4,100.0,55.2,63.4,6045.0,9.0,10.0,9.0,9.0,615.0,Consumer Services,Telecommunications Equipment,"August,1999",2002-02-06,-0.09201316368005473,-0.025776206315261646
CCRC,2015,12,21,0,10.15,10.7,4.39,4.39,204353.0,16.53,16.69,15.91,15.92,99033.0,Miscellaneous,Business Services,"March,6,2014",2015-12-21,-0.05525592643476385,0.019613963964690794
CCRN,2001,10,25,3,20.37,20.55,18.75,19.5,9764700.0,13.71,14.02,12.92,12.95,357864.0,Technology,Professional Services,"July,29,1999",2001-10-25,-0.11682608246439471,-0.08844260760375756
CCS,2014,6,18,2,21.25,23.4,20.64,23.19,4241818.0,21.35,21.425,21.1,21.23,104414.0,Capital Goods,Homebuilding,2000,2014-06-18,0.07253746668289192,0.0372492937558419
CCXI,2012,2,8,2,11.0,12.77,10.31,10.49,1012416.0,11.44,11.54,11.23,11.26,5418.0,Health Care,Major Pharmaceuticals,1997,2012-02-08,0.20330346402030136,0.055748011186397835
CDEV,2016,4,15,4,10.0,10.0,10.0,10.0,416.0,19.79,19.79,19.79,19.79,0.0,Energy,Oil & Gas Production,"October,2014",2016-04-15,0.02911270758440217,0.10766731263855876
CDK,2014,9,22,0,31.0,32.4999,30.25,30.31,6252.0,51.5,51.63,50.66,51.16,424247.0,Miscellaneous,Business Services,"September,30,2014",2014-09-22,0.08234994822605564,0.024350247588259044
CDMOP,2014,2,20,3,24.9,25.0,24.44,24.9,51785.0,21.89,22.0,21.7,21.85,8725.0,Health Care,Major Pharmaceuticals,"June,3,1981",2014-02-20,0.10675705935209612,0.02659750922755135
CDNA,2014,7,17,3,9.05,9.99,9.0,9.5,1595625.0,7.11,7.4772,7.01,7.1,20653.0,Health Care,Medical Specialities,"December,21,1998",2014-07-17,0.0777016364340092,0.06258946951829274
CDTX,2015,4,15,2,16.0,19.13,15.96,16.44,4512149.0,15.06,15.14,14.35,14.45,71225.0,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),"December,2012",2015-04-15,0.12528931638815696,0.0517747753868196
CDW,2013,6,27,3,18.37,18.75,17.38,17.64,8286728.0,32.05,32.41,31.89,32.3,628080.0,Consumer Services,Catalog/Specialty Distribution,1984,2013-06-27,0.13056909764290925,0.02585663039380164
CDXC,2008,6,24,1,11.25,11.25,10.5,10.5,80.0,0.72,0.72,0.72,0.72,0.0,Consumer Durables,Specialty Chemicals,"September,1999",2008-06-24,-0.11924886029909001,-0.023616917627859897
CDXS,2010,4,22,3,13.26,13.8,12.62,13.0,3332220.0,10.22,10.509,10.04,10.1,108643.0,Basic Industries,Major Chemicals,"January,2002",2010-04-22,0.10342105360154377,0.10458336137915211
CE,2005,1,21,4,16.0,16.2,15.5,16.0,22143800.0,19.62,20.0,19.54,20.0,210000.0,Basic Industries,Major Chemicals,2005,2005-01-21,0.07453288197329223,0.062287092114329895
CEA,1997,2,4,1,10.375,10.625,9.0625,10.375,6055200.0,6.1875,6.3125,6.0625,6.3125,376800.0,Transportation,Air Freight/Delivery Services,"June,1988",1997-02-04,0.19159990267359192,0.11319740524795441
CECO,1998,1,29,3,2.407,2.469,2.282,2.407,22820800.0,3.805,3.805,3.805,3.805,0.0,Consumer Services,Other Consumer Services,"January,5,1994",1998-01-29,0.037324013589680696,0.0634275322375877
CEL,2007,2,6,1,19.54,20.65,18.18,20.3,15779900.0,30.52,31.11,30.44,30.59,23200.0,Public Utilities,Telecommunications Equipment,1994,2007-02-06,0.1342091192627614,0.04871063467395572
CELH,2007,1,22,0,39.9,40.0,24.0,24.0,5025.0,2.1,2.7,2.02,2.6,0.0,Consumer Non-Durables,Beverages (Production/Distribution),"April,2004",2007-01-22,0.13449806982513463,0.03883747491699871
CELP,2014,1,15,2,21.3,21.74,19.55,20.0,1586023.0,12.81,13.0645,11.8175,13.05,59137.0,Energy,Oilfield Services/Equipment,"September,19,2013",2014-01-15,0.0929450251903789,0.08292989731216142
CEMI,2000,10,18,2,2601.0,2890.0,2601.0,2601.0,3.0,70.04,70.04,70.04,70.04,0.0,Health Care,Major Pharmaceuticals,"May,5,2004",2000-10-18,-0.06356782734554203,-0.09624835678978629
CENTA,2007,2,6,1,15.05,15.4,14.5,14.5,2775152.0,5.02,5.41,4.89,5.22,383351.0,Consumer Durables,Consumer Specialties,1980,2007-02-06,0.1342091192627614,0.04871063467395572
CENX,1996,3,29,4,13.625,13.875,13.0,13.625,2670700.0,16.75,16.75,16.625,16.75,0.0,Basic Industries,Aluminum,1995,1996-03-29,0.11041911032020665,0.053593769029203785
CEO,2001,2,27,1,16.12,16.5,16.0,16.5,10788700.0,21.32,21.44,21.15,21.35,9100.0,Energy,Oil & Gas Production,"August,20,1999",2001-02-27,-0.1627643977369154,-0.06028299224976522
CEQP,2001,7,26,3,56.1749,56.7964,54.9797,55.6012,118054.0,66.9557,69.3223,66.7454,66.8362,10249.0,Consumer Services,Other Consumer Services,"March,7,2001",2001-07-26,-0.12137714813396698,-0.03566570699565755
CERC,2015,11,13,4,4.0,5.0,3.75,4.95,343900.0,4.51,4.75,3.8903,3.8903,64561.0,Health Care,Major Pharmaceuticals,"January,31,2011",2015-11-13,-0.025022878585620592,-0.017961074884881054
CERS,1997,1,31,4,12.125,12.375,12.0,12.125,1241000.0,17.0,17.125,15.125,16.0,50400.0,Health Care,Medical/Dental Instruments,"September,19,1991",1997-01-31,0.22536130627725992,0.11187199397947789
CETX,2005,1,18,1,5.2807,5.2807,5.2807,5.2807,62.0,2.5923,2.5923,1.3439,1.3439,0.0,Capital Goods,Industrial Machinery/Components,"April,27,1998",2005-01-18,0.07595602985084225,0.06328432053641597
CETXP,2017,2,21,1,8.8091,9.0727,8.8091,9.0727,144113.0,5.6,5.6,5.5,5.5,223.0,Capital Goods,Industrial Machinery/Components,"April,27,1998",2017-02-21,0.07720926393047589,0.06959393008131616
CEVA,2002,11,1,4,5.27,6.25,5.1,5.1,358700.0,7.39,7.69,7.25,7.69,49800.0,Technology,Semiconductors,"November,22,1999",2002-11-01,-0.18472834562508145,0.0012434569828944117
CF,2005,8,11,3,3.24,3.31,3.2,3.25,76671500.0,2.966,3.036,2.962,2.99,1718500.0,Basic Industries,Agricultural Chemicals,1946,2005-08-11,0.019770974105457483,0.04954275879889507
CFBK,1998,12,30,2,55.0,55.0,52.5,55.0,5540.0,67.5,69.375,67.5,69.375,80.0,Finance,Savings Institutions,"September,1998",1998-12-30,0.09522516054134951,0.22104015365584384
CFFI,1998,1,26,0,17.5,17.5,17.5,17.5,400.0,18.375,18.375,18.375,18.375,200.0,Finance,Major Banks,"March,1994",1998-01-26,0.022574632252515627,0.09190530965986675
CFFN,1999,4,1,3,4.2934,4.4175,4.1967,4.2934,6667049.0,4.1141,4.1141,4.0447,4.0465,51385.0,Finance,Savings Institutions,"April,2010",1999-04-01,0.30411903609513613,0.047447293127295155
CFG,2014,9,24,2,23.08,23.22,21.35,21.5,60456032.0,23.34,23.79,23.275,23.75,3662143.0,Finance,Major Banks,1828,2014-09-24,0.06747463287029017,0.016815577283320466
CFMS,2015,7,1,2,19.25,20.42,17.69,18.1,5811895.0,6.75,6.87,6.41,6.49,270963.0,Health Care,Industrial Specialties,2004,2015-07-01,0.0023856556051341416,0.0016605246968822342
CFRX,2014,9,12,4,5.21,5.5,5.2,5.25,1650.0,4.9,5.15,4.75,4.96,41578.0,Health Care,Major Pharmaceuticals,"March,5,2008",2014-09-12,0.06918424332412851,0.03488918576215063
CFX,2008,5,8,3,21.0,24.0,20.3,22.5,11940824.0,8.4,9.33,7.93,9.29,332981.0,Capital Goods,Fluid Controls,1995,2008-05-08,-0.055737553756560955,0.04603047076782462
CG,2012,5,3,3,22.05,22.45,21.85,22.0,13299419.0,31.99,32.366,31.27,31.97,113198.0,Finance,Investment Managers,1987,2012-05-03,0.11192961300957929,0.04268721327795316
CGA,2008,2,20,2,10.0,10.0,10.0,10.0,2.0,3.12,3.13,3.12,3.12,7225.0,Basic Industries,Agricultural Chemicals,"February,6,1987",2008-02-20,-0.06694338920309213,-0.06315199344210143
CGEN,2000,8,11,4,11.125,14.0,10.188,10.28,4477100.0,4.0,4.0,3.949,4.0,5200.0,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),"February,10,1993",2000-08-11,0.052720748846702546,0.03724930155608622
CGG,1997,5,7,2,544.0,560.0,544.0,544.0,26609.0,1012.0,1012.0,996.0,1012.0,1409.0,Energy,Oil & Gas Production,"July,23,1931",1997-05-07,0.13757985568979497,0.04838139257960115
CGIX,2013,4,5,4,11.25,17.0,10.0,10.0,48000.0,15.92,16.8,15.8,15.92,166212.0,Health Care,Medical Specialities,"April,8,1999",2013-04-05,0.06779922591517219,0.06709804762152484
CHA,2002,11,14,3,17.96,18.75,17.5,18.75,11726200.0,32.01,32.54,31.6,31.65,140400.0,Public Utilities,Telecommunications Equipment,"September,10,2002",2002-11-14,-0.19571120795628572,-0.040331839256698754
CHCI,2004,12,14,1,117.25,133.0,116.97,133.0,297862.0,99.89,101.99,99.61,99.75,16324.0,Capital Goods,Homebuilding,1985,2004-12-14,0.06521875436627883,0.06234886991943011
CHCT,2015,5,21,3,19.75,19.75,19.0,19.0,1118388.0,18.23,18.29,18.05,18.2,53637.0,Consumer Services,Real Estate Investment Trusts,"March,28,2014",2015-05-21,0.0302157003422583,0.007674310657345241
CHEF,2011,7,28,3,17.5,18.5,16.25,17.0,6574029.0,16.39,17.38,16.33,16.37,50538.0,Consumer Non-Durables,Food Distributors,1985,2011-07-28,0.02236868670783625,-0.04086055408265479
CHEK,2015,3,18,2,69.12,75.6,67.2,69.0,1547.0,37.44,37.44,37.44,37.44,0.0,Health Care,Medical Electronics,2005,2015-03-18,0.031282338518987096,0.0063311949427192265
CHFN,2001,10,17,2,14.25,14.5,13.27,14.25,2131700.0,27.4501,28.31,27.1,28.31,23400.0,Finance,Savings Institutions,"October,16,2001",2001-10-17,-0.0790981909000515,-0.09625828199325097
CHFS,2012,2,16,3,7197.6,7200.0,7197.6,7200.0,2.0,4158.0,4170.0,3960.0,4020.0,57.0,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,"November,1999",2012-02-16,0.1261527628954395,0.08595608682208918
CHGG,2013,11,13,2,9.68,11.25,9.5,11.0,17261676.0,6.93,6.989,6.78,6.96,575139.0,Consumer Services,Other Consumer Services,"July,29,2005",2013-11-13,0.08196987352811345,0.04340198431263649
CHH,1996,10,16,2,6.8856,6.9915,5.9322,6.8856,46020.0,8.5806,8.5806,8.3687,8.5805,366980.0,Consumer Services,Hotels/Resorts,1996,1996-10-16,0.08925582530886628,0.1180833152181198
CHKP,1996,6,28,4,2.6667,2.7087,2.1113,2.6667,49194000.0,2.6667,2.8333,2.4447,2.82,10012500.0,Technology,Computer Software: Prepackaged Software,"July,1993",1996-06-28,0.08863087525003126,0.030218487499286368
CHKR,2011,11,11,4,18.87,19.0,18.48,19.0,6031930.0,18.96,19.8,18.76,19.68,420693.0,Energy,Oil & Gas Production,"June,29,2011",2011-11-11,-0.07628457933592794,0.05718714668247302
CHL,1997,10,22,2,7.0,7.235,6.813,7.0,48774000.0,9.063,9.063,8.922,9.0,200800.0,Public Utilities,Telecommunications Equipment,"September,3,1997",1997-10-22,0.25518654249673595,0.04100735522072197
CHMA,2015,7,16,3,20.0,22.6,19.63,20.5,5424052.0,2.79,2.87,2.73,2.75,104974.0,Health Care,Major Pharmaceuticals,2001,2015-07-16,0.04356689370407183,0.0011448568024338558
CHMI,2013,10,4,4,18.5,19.2,18.06,18.5,5532565.0,18.38,18.5198,18.32,18.43,22217.0,Consumer Services,Real Estate Investment Trusts,"October,31,2012",2013-10-04,0.07607793381763525,0.028660031688058214
CHRS,2014,11,6,3,12.61,13.15,12.27,12.8,3432498.0,29.09,29.89,28.29,29.16,260176.0,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),"September,13,1940",2014-11-06,0.08344397341709954,0.053810959348927816
CHRW,1997,10,15,2,5.625,5.688,5.25,5.625,29816800.0,4.5,4.5,4.375,4.5,144400.0,Transportation,Oil Refining/Marketing,1905,1997-10-15,0.28561594626007614,0.04809023835726189
CHSP,2010,1,22,4,19.0,19.3,18.26,19.25,3492458.0,18.28,18.67,18.01,18.67,54828.0,Consumer Services,Real Estate Investment Trusts,"June,12,2009",2010-01-22,0.17022857012351292,0.021566227367244867
CHT,2003,7,17,3,10.9229,10.9457,10.8392,10.8392,10302990.0,12.2169,12.255,11.9124,11.9124,521429.0,Public Utilities,Telecommunications Equipment,"June,15,1996",2003-07-17,0.10236420696804362,0.11248014485928165
CHTR,2009,12,17,3,38.4318,38.4318,38.4318,38.4318,90.0,41.7275,41.9597,41.3625,41.9597,130223.0,Consumer Services,Television Services,"July,22,1999",2009-12-17,0.21792889827695366,0.04100466815924946
CHU,2000,6,21,2,22.25,24.625,22.0,22.0,48152500.0,16.44,16.45,15.95,16.15,351200.0,Public Utilities,Telecommunications Equipment,"February,8,2000",2000-06-21,0.02966304309781967,-0.011995718505549575
CHUBA,2016,7,22,4,13.53,15.0,12.0,12.0,1392930.0,18.05,18.39,18.04,18.25,59202.0,Technology,Computer Software: Prepackaged Software,1997,2016-07-22,0.13543966340883376,0.03518385192116083
CHUBK,2016,7,22,4,13.74,15.0,12.02,12.02,1820875.0,17.84,18.26,17.82,18.23,101082.0,Technology,Computer Software: Prepackaged Software,1997,2016-07-22,0.13543966340883376,0.03518385192116083
CHUY,2012,7,24,1,15.06,15.53,14.33,15.0,4343114.0,35.57,36.08,35.08,35.75,257285.0,Consumer Services,Restaurants,1982,2012-07-24,0.027284824440766815,-0.015634417392446316
CIDM,2003,11,10,0,61.0,61.5,55.0,55.0,8700.0,39.0,39.0,38.2,38.2,340.0,Consumer Services,Consumer Electronics/Video Chains,"March,31,2000",2003-11-10,0.1143781964653843,0.07405738595456351
CIEN,1997,2,7,4,129.5,134.316,110.25,129.5,2095056.0,182.224,187.25,181.566,184.24,411713.0,Public Utilities,Telecommunications Equipment,"November,1992",1997-02-07,0.17464173687005685,0.072150069729298
CIM,2007,11,16,4,74.5,76.275,72.0,75.0,2256180.0,14.3,14.8,13.9,14.45,88025.0,Consumer Services,Real Estate Investment Trusts,"June,1,2007",2007-11-16,-0.04160116609097106,0.02825823855881141
CINR,2013,9,13,4,18.0,18.72,17.76,18.25,4273683.0,24.18,24.44,23.9,24.17,29036.0,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels),"April,22,2013",2013-09-13,0.08291950106434204,0.02875898886249007
CIO,2014,4,15,1,12.4,12.59,12.25,12.5,379110.0,13.24,13.39,13.22,13.39,44638.0,Consumer Services,Real Estate Investment Trusts,"November,26,2013",2014-04-15,0.07805962226541259,-0.009613834538518837
CIR,1999,10,18,0,10.625,12.438,10.625,10.625,70700.0,10.688,10.688,10.125,10.13,12800.0,Capital Goods,Metal Fabrications,"July,1,1999",1999-10-18,-0.032625513328069886,-0.11383510635115092
CIT,2009,12,10,3,28.99,30.66,25.5,25.5,17227612.0,43.27,43.41,42.06,42.65,1561005.0,Finance,Major Banks,1908,2009-12-10,0.16695940231236248,0.04961972129847158
CIVB,1996,6,18,1,22.75,22.75,22.75,22.75,1700.0,35.5,35.5,35.0,35.5,0.0,Finance,Major Banks,"February,19,1987",1996-06-18,0.09615856004465914,0.01916792808166974
CIVBP,2014,1,14,1,28.5,28.5,28.5,28.5,100.0,32.6,32.6,32.6,32.6,0.0,Finance,Major Banks,"February,19,1987",2014-01-14,0.08124811362369985,0.06377251896878018
CIVI,2014,9,17,2,16.61,17.19,16.16,17.06,6626564.0,26.41,26.54,25.94,26.23,55740.0,Health Care,Medical/Nursing Services,1980,2014-09-17,0.07539690435779658,0.029346181247565023
CJ,2017,1,12,3,39.1,39.5,38.5,38.6,647878.0,36.1,36.27,34.59,35.04,1324099.0,Energy,Oilfield Services/Equipment,1997,2017-01-12,0.057236137950906193,0.06364127425893461
CJJD,2009,4,6,0,0.3,0.3,0.3,0.3,250.0,9.98,11.0,9.98,11.0,600.0,Consumer Durables,Specialty Chemicals,"December,19,2006",2009-04-06,-0.20284988189594347,-0.09864128704708888
CKPT,2016,12,19,0,5.0,5.0,5.0,5.0,200.0,4.1777,4.68,4.11,4.6,66709.0,Health Care,Major Pharmaceuticals,"November,10,2014",2016-12-19,0.08391698949207968,0.05560695269804183
CLBS,1998,12,31,3,8750.0,8750.0,7500.0,8750.0,2.0,18750.0,25000.0,18750.0,18750.0,8.0,Health Care,Hospital/Nursing Management,"September,1980",1998-12-31,0.08651140447290426,0.2113253968806481
CLCT,1999,11,5,4,21.8182,28.1818,20.6836,21.8182,663162.0,7.0473,7.2727,6.8182,7.2727,12237.0,Miscellaneous,Business Services,"February,5,1999",1999-11-05,0.01137819461593576,0.03724570503828688
CLD,2009,11,20,4,14.84,17.51,14.0,14.5,19669753.0,22.07,22.21,20.54,20.78,678193.0,Energy,Coal Mining,"July,31,2008",2009-11-20,0.21188313936096534,0.08688965297868795
CLDC,2014,10,24,4,9.75,9.75,9.75,9.75,300.0,10.0,10.0,10.0,10.0,0.0,Finance,Diversified Financial Services,"April,2014",2014-10-24,0.0384379735552117,-0.01869235834604605
CLDT,2010,4,16,4,20.5,20.64,20.14,20.25,2368400.0,16.27,16.31,16.16,16.21,178601.0,Consumer Services,Real Estate Investment Trusts,"October,26,2009",2010-04-16,0.11399491037033088,0.053415459968730775
CLGN,2015,8,11,1,27.855,27.855,27.855,27.855,66.0,17.895,17.895,17.895,17.895,0.0,Health Care,Industrial Specialties,"June,2004",2015-08-11,0.017234413732861276,-0.0005463022147098743
CLIR,2012,4,25,2,4.2,4.34,4.0,4.11,499136.0,8.1,8.11,7.83,8.1,84079.0,Capital Goods,Industrial Machinery/Components,"January,23,2008",2012-04-25,0.1162848673341426,0.03462129170684863
CLLS,2015,3,25,2,39.3,42.04,38.15,41.8,4185663.0,27.08,27.51,26.857,27.43,115662.0,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),"February,20,1999",2015-03-25,0.06384061485005951,0.0013069799179531727
CLMT,2006,1,26,3,21.75,22.5,21.7,22.02,3689286.0,43.4,43.4,42.15,42.15,30654.0,Energy,Integrated oil Companies,"September,27,2005",2006-01-26,0.027226370740327136,0.06152533073218314
CLNE,2007,5,25,4,12.04,13.0,11.97,12.0,8451761.0,14.31,14.4644,13.99,14.3,223712.0,Public Utilities,Natural Gas Distribution,1996,2007-05-25,0.09084926653226177,0.040113990798972377
CLNS,2009,9,24,3,13.2988,13.4079,13.1283,13.2988,7566373.0,12.3099,12.7395,12.2963,12.5622,35664.0,Consumer Services,Real Estate Investment Trusts,"May,31,2016",2009-09-24,0.316019949316561,0.1775145872559727
CLPR,2017,2,10,4,13.5,15.0,13.5,15.0,1125393.0,8.03,8.09,7.65,7.82,50724.0,Consumer Services,Real Estate Investment Trusts,"July,7,2015",2017-02-10,0.06085071756127139,0.06477113421291603
CLR,2007,5,15,1,7.05,7.35,7.0,7.25,25563800.0,26.045,26.14,24.085,25.0,3801260.0,Energy,Oil & Gas Production,1967,2007-05-15,0.07631560338828888,0.031809202268306816
